title;genres;keywords;popularity;average_vote;num_votes
Sense and Sensibility;drama, romance;bowling, based on novel, servant, country life, jane austen, inheritance, military officer, period drama, rainstorm, horse and carriage, decorum;10.673167;7.2;364.0
Four Rooms;crime, comedy;hotel, new year's eve, witch, bet, hotel room, sperm, los angeles, hoodlum, woman director, episode film;9.026586;6.5;539.0
Ace Ventura: When Nature Calls;crime, comedy, adventure;africa, indigenous, human animal relationship, bat;8.205447999999999;6.1;1128.0
Money Train;action, comedy, crime;brother brother relationship, subway, new york city, new york subway, train robbery;7.337905999999999;5.4;224.0
Get Shorty;comedy, thriller, crime;gambling, miami, based on novel, job, murder, travel, mafia, money, debt, mobster, business, hollywood, gangster, crime, violence, drug, producer, con;12.669608;6.4;305.0
Copycat;drama, thriller;police brutality, psychology, police operation, police protection, serial killer, psychologist, cowardliness;10.701801;6.5;199.0
Assassins;action, adventure, crime, thriller;competition, assassination, cia, bank, cat, mexican standoff, seattle, hitman, mission of murder, hidden camera, rivalry, rescue, shootout, police chase, sniper rifle, silencer, double cross, caribbean, detroit michigan;11.065939;6.0;394.0
Powder;drama, fantasy, science fiction, thriller;dead animal, shot to death, teenage boy, held at gunpoint, teacher student relationship, albino, fainting, jacobs ladder, christ allegory, psionic power, healing power, looking pale, flickering light, extrasensory perception;12.133094;6.3;143.0
Leaving Las Vegas;drama, romance;individual, prostitute, alcohol, casino, love at first sight, lovesickness, film producer, screenwriter, hotel room, dying and death, rage and hate, unsociability, alcoholism, los angeles, alcohol abuse, attempted suicide;10.332025;7.1;365.0
Othello;drama;shakespeare, jealousy, friends, moor;1.8458990000000002;7.0;33.0
Now and Then;comedy, drama, family;1970s, female friendship, coming of age, gynecologist, photocopier, truth or dare, woman director;8.681325;6.6;91.0
Persuasion;drama, romance;captain, napoleonic wars, old flame, admiral;2.228434;7.4;36.0
The City of Lost Children;fantasy, science fiction, adventure;clone, dream, island, eye, dystopia, aging, friendship, rescue, children, girl, childhood;9.822422999999999;7.6;308.0
Shanghai Triad;drama, crime;servant, cabaret, shanghai, diva, uncle, mistress, umbrella;1.1009149999999999;6.5;17.0
Dangerous Minds;drama, crime;rap music, karate, high school, naval officer, teacher, amusement park;9.481338000000001;6.4;249.0
Twelve Monkeys;science fiction, thriller, mystery;schizophrenia, philadelphia, cassandra syndrom, stockholm syndrome, time travel, post-apocalyptic, dystopia, lethal virus, monkey, subterranean;12.297305;7.4;2470.0
Babe;fantasy, drama, comedy, family;sheep, pig, affection, piglet, heroism, talking animal, separation, german shepherd, grandson, talking pig;14.404764000000002;6.0;756.0
Carrington;history, drama, romance;england, painter, conscientious objector, independent film, soldier;1.4933610000000002;6.4;16.0
Dead Man Walking;drama;prison, rape, socially deprived family, penalty, death penalty, despair, death row, begnadigung, therapist, self-discovery, prison cell, court case, death sentence, doomed man, sentence, lethal injection, forgiveness, charity, mercy petition, rage and hate, unsociability, right and justice, court, electric chair, cowardliness;6.891317;7.3;350.0
It Takes Two;comedy, family, romance;orphan, identical twin;7.777735000000001;6.1;149.0
Clueless;comedy, drama, romance;puberty, high school, make a match, spoiled child, gay interest, conflict, woman director;9.882383;6.9;828.0
Cry, the Beloved Country;drama;south africa;0.894647;6.7;13.0
Richard III;drama, war;england, shakespeare, kidnapping, murder, king;4.561387;6.9;50.0
Dead Presidents;action, crime, drama, history;money, loss of virginity, hiding in a dumpster, mercy killing, armored truck, crushed by a car;9.87957;6.6;80.0
Restoration;drama, romance;jealousy, medicine, fountain, court, wealth, spaniel, gloves;10.979269;6.3;30.0
Mortal Kombat;action, fantasy;martial arts, monster, island, gore, sorcerer, tournament, violence, based on video game, hand to hand combat;10.870138;5.4;452.0
To Die For;fantasy, drama, comedy, thriller;adultery, winter, obsession, television, new hampshire, narcissistic personality disorder;10.448481;6.7;177.0
How To Make An American Quilt;drama, romance;wedding vows, marriage proposal, married couple, monogamy, advice, marriage, quilt, love, family holiday, extramarital affair, grandmother, woman director;4.485958;6.5;38.0
Se7en;crime, mystery, thriller;self-fulfilling prophecy, detective, s.w.a.t., drug dealer, evisceration, lust and impulsiveness, rage and hate, pride and vanity, immoderateness, insomnia, investigation, pension, police, serial killer;18.45743;8.1;5915.0
Pocahontas;adventure, animation, drama, family;culture clash, settler, forbidden love, colony, musical, gold rush, princess, romance, native american, animation, virginia, star crossed lovers, reference to pizarro, jamestown virginia, pug dog, cross cultural relationship, musket, animate tree, indian chief, based on myths or folklore, 17th century, shamanism, songs, indians vs. settlers, animal sidekick, powhatan, land claim;13.280069000000001;6.7;1509.0
When Night Is Falling;drama, romance;professor, lgbt, woman director;3.302524;5.9;10.0
The Usual Suspects;drama, crime, thriller;law, relatives, theft, criminal, criminal mastermind, hungarian, sibling;16.302466;8.1;3334.0
Mighty Aphrodite;comedy, romance;prostitute, adoption, adoptive father, childlessness, looking for  birth parents, adoptive mother, independent film, illegal prostitution, child;15.899134;6.7;145.0
Lamerica;drama, foreign;independent film;1.361286;7.7;11.0
The Big Green;action, adventure, comedy, family;sport, kids and family, soccer, woman director;5.9827639999999995;5.2;41.0
Georgia;drama;alcohol, artist, music, drug, band;4.093443;6.1;15.0
Home for the Holidays;comedy, drama, romance;baltimore, thanksgiving, family clan, family conflict, generations conflict, woman director;8.416802;6.3;39.0
The Postman;comedy, drama, romance;island, letter, postman, fisherman, poet;10.168436999999999;7.6;181.0
The Indian in the Cupboard;adventure, family, fantasy;cupboard, games, puppet, parallel world, toy comes to life;10.673296;5.9;136.0
Eye for an Eye;drama, thriller;rape, gun, self-defense, grieving parents;4.733526;5.8;65.0
Mr. Holland's Opus;music, drama, family;composer, mentor, deaf-mute, musical, apprentice, private life, music, disabled;7.137117;6.9;115.0
Don't Be a Menace to South Central While Drinking Your Juice in the Hood;comedy;date, slang, hip-hop, cousin, parody, hood, gang, social satire, racism, gangster;11.700115;6.2;192.0
Two If by Sea;comedy, romance;island, painting, thief, seasickness;2.174487;4.5;14.0
Bio-Dome;comedy;biotope, vegetarian, pollution;6.387469;4.4;110.0
Lawnmower Man 2: Beyond Cyberspace;action, science fiction;hacker, virtual reality, computer, sword fight;2.49535;2.8;32.0
French Twist;comedy, romance;love triangle, southern france, estate agent, menage a trois, van, woman director;2.518051;6.0;43.0
Friday;comedy;rap music, parent child relationship, rapper, job;14.56965;7.0;513.0
From Dusk Till Dawn;horror, action, thriller, crime;dancing, brother brother relationship, sexual obsession, showdown, sheriff, eroticism, nudity, bank robber, vampire, holy water, siege, stripper, priest, explosion, extreme violence, bank robbery, preacher, hostage situation, crucifix, recreational vehicle, blood spurting, convenience store, female vampire, mexican american border, nightclub entertainer, boa constrictor;15.339153;6.9;1644.0
Fair Game;action, thriller, romance;bomb, miami, sex, detective, handcuffs, based on novel, hostage, fbi, kidnapping, russian, kgb, chase, sadism, parking garage, pizza, police protection, psychopath, remake, car crash, conspiracy, on the run, fugitive, shootout, gunfight, sadist, foot chase, police detective, police station, car chase, held at gunpoint, fbi agent, double cross, cult film, computer hacker, machine gun, swat team, grenade launcher, underwater scene, rogue agent, woman lawyer, damsel in distress;5.912223;4.1;54.0
Kicking and Screaming;comedy, drama, romance;college;3.3672760000000004;7.0;36.0
Les Miserables;drama, history;paris, nun, boxer, lawyer, jewish;1.4794459999999998;6.6;8.0
Bed of Roses;drama, romance;florist, family relationships;10.412194;5.1;27.0
Big Bully;comedy, family;bully;2.936443;3.9;16.0
Screamers;horror, science fiction;man vs machine, alien planet, struggle for survival;12.758848;6.1;154.0
The Crossing Guard;drama, thriller;loss of daughter, hit-and-run driving , revenge, suspense, independent film, tragedy;5.756462;6.1;74.0
The Juror;drama, thriller;jurors, blackmail, court case, son, trial, courtroom;6.010579;5.5;91.0
The White Balloon;family, drama;fish, money, celebration, goldfish;1.196256;7.5;20.0
Things to Do in Denver When You're Dead;drama, crime;father son relationship, bounty hunter, boat, way of life, coffin, denver, godmother, paranoia, hitman, friendship, psychopath, revenge, murder, independent film, mafia, diner, blood, gangster, violence, illegal prostitution, extramarital affair;4.486179;6.7;87.0
Antonia's Line;drama, comedy;suicide, underdog, free love, philosophy, rape, mentally disabled, loss of mother, village life, world war ii, feminism, indian summer , family history, widow, peasant, village, mathematics, freedom, right and justice, single, homosexuality, mother daughter relationship, domestic violence, university, woman director;2.030174;7.2;26.0
Once Upon a Time... When We Were Colored;romance, drama;racial segregation, family relationships, rural setting, african american;0.252287;4.5;2.0
Angels and Insects;drama, romance;class society, rich woman - poor man, scientist, naturalist, insect;2.1516599999999997;6.3;17.0
White Squall;action, drama;sailing trip, diary, sailing, survival, coming of age, teenage boy, discipline, squall, sail, ship captain, caribbean, male bonding, seasickness, storm at sea, 1960s;9.568603999999999;6.3;86.0
Dunston Checks In;adventure, comedy, family;boss, fistfight, bully, orangutan, hotel manager;4.814825;5.1;59.0
Black Sheep;comedy;nitrous oxide, candid camera, double act, political satire, crooked politician, woman director;8.963037;6.0;124.0
Nick of Time;crime, drama, thriller;assassination, train station, politics, los angeles;6.848591000000001;6.1;190.0
Mary Reilly;drama, horror, thriller, romance;servant, monster, laboratory, jekyll and hyde, housemaid, 19th century;12.866139;5.7;77.0
Vampire in Brooklyn;comedy, horror, romance;vampire, half vampire;9.071127;4.5;113.0
Beautiful Girls;comedy, drama, romance;hometown;4.670562;6.6;103.0
Broken Arrow;action, adventure, drama, thriller;helicopter, river, captain, underground, mexican standoff, countdown, pilot, fistfight, canyon, major, betrayal, gunfight, train, explosion, park ranger, desert, military, nuclear device, boxing, stealth aircraft, abandoned mine, humvee;14.957626000000001;5.7;459.0
A Midwinter's Tale;comedy;play, hamlet, christmas, actor;0.5133909999999999;7.5;6.0
La Haine;drama;paris, neo-nazi, skinhead, robbery, police brutality, hip-hop, gun, socially deprived family, breakdance, arabian, boredom, revenge, suburb, violence, police officer, unemployment, capture, xenophobia;12.108196000000001;7.9;695.0
Heidi Fleiss: Hollywood Madam;documentary;narration, hollywood, prostitution;0.638211;6.8;4.0
City Hall;drama, thriller;corruption, undercover, war on drugs, mayor, drug dealer, presidential election, undercover agent, investigation, police, drug;4.8072230000000005;6.0;67.0
Bottle Rocket;comedy, crime, drama;brother brother relationship, robbery, burglar, language barrier, motel, independent film, psychiatric hospital, maid, theft, nervous breakdown, escapade, laundry room;6.904831;6.8;285.0
Unforgettable;drama, mystery, science fiction, thriller;wife husband relationship, experiment, police, murder, suspense, memory, forensic, gunman, animal experimentation;2.464425;5.3;22.0
Happy Gilmore;comedy;loss of mother, loss of father, golf, sport, taxes;9.592265;6.5;767.0
The Bridges of Madison County;drama, romance;farewell, adultery, love at first sight, photographer, wife husband relationship, iowa, love of one's life, mother role, bridge, housewife, love letter, peasant, marriage crisis, photography, unsociability, secret love, nature documentary;5.951077;7.3;397.0
Nobody Loves Me;drama, comedy, family;prophecy, voodoo, single, falling in love, woman director, rich man;1.015068;5.1;5.0
Muppet Treasure Island;action, comedy, music, family, adventure;island, pirate gang, puppet, treasure hunt;6.902423;6.5;93.0
Headless Body in Topless Bar;crime;ex-con;0.0013460000000000002;0.0;0.0
Braveheart;action, drama, history, war;individual, scotland, in love with enemy, legend, independence, idealism, revolt, tyranny;20.755149;7.7;3404.0
Taxi Driver;crime, drama;vietnam veteran, taxi, obsession, drug dealer, night shift, vigilante, alienation, misanthrope, shot to death, illegal prostitution, loner;14.092713;8.1;2632.0
Rumble in the Bronx;crime, action, comedy, thriller;new york, martial arts, supermarket, gang war, disabled child, gang, wedding, diamond, bronx, duringcreditsstinger;12.314278;6.5;245.0
Margaret's Museum;drama;mining, dance lesson, coal mining, bagpipes;0.372697;7.5;2.0
Happiness Is in the Field;comedy;best friend, twins, country, identity swap, woman director;1.254885;7.0;23.0
Anne Frank Remembered;documentary, drama, foreign;fascism, auschwitz, typhus, victim, interview, prejudice, burglary, rabbit;0.243986;7.3;4.0
The Young Poisoner's Handbook;comedy, crime, drama;london england, poison, based on true story, murder, serial killer, mental institution, teenager, psychiatrist, stepmother, social misfit;6.178497;6.9;19.0
If Lucy Fell;comedy, romance;roommate, single, love, independent film, best friend, brooklyn bridge;2.891918;5.4;11.0
Steal Big Steal Little;comedy, drama;brother brother relationship, twin brother, lawyer, estate, santa barbara california;1.522412;5.1;7.0
Race the Sun;action, adventure, comedy, drama, family;hawaii, australia, teacher, car, solar power;1.317878;5.2;21.0
Boomerang;comedy, romance;role of women, ladykiller, success, ladies' man, chefin, casanova, womanizer;6.506983;5.4;139.0
Chungking Express;drama, comedy, romance;ex-girlfriend, drug smuggle, girlfriend, snack bar, romance, hong kong, pineapple, expiration date, flight attendant;6.778979;7.9;249.0
Flirting with Disaster;comedy, romance;lsd, looking for  birth parents, half-brother, independent film;5.579088;6.3;66.0
The Neverending Story III: Escape from Fantasia;fantasy;flying, magic;6.252377;4.4;105.0
The Silences of the Palace;drama;woman director;0.406754;4.3;3.0
Angela;comedy, drama;independent film, woman director;2.197439;5.6;9.0
Frankie Starlight;drama, romance, war;boy, writer, ireland, flashback, troop ship;0.637554;5.4;4.0
Jade;action, thriller, mystery, romance;callgirl, san francisco, investigation, murder;11.418917;5.1;45.0
Nueba Yol;comedy, drama, romance;new york, emigration, dominican republic;0.29102100000000003;5.5;1.0
Down Periscope;comedy;submarine, u.s. navy, misfit;5.184977;5.6;110.0
From the Journals of Jean Seberg;documentary;biography;0.276401;6.5;2.0
Man of the Year;comedy;homosexuality, independent film, mockumentary;0.5404359999999999;3.8;2.0
The Neon Bible;drama;southern usa, based on novel, singer, south;0.370342;7.2;5.0
Up Close & Personal;drama, romance;skab under tv, foran, nederste hylde;3.4027489999999996;5.9;51.0
The Birdcage;comedy;gay, drag queen, homophobia, florida, coming out, senator, politician, lgbt, crossdressing, 1990s;6.499680000000001;6.7;303.0
Virgin Mary;drama;mountain, miracle, apparition, communism, virgin mary;0.9185040000000001;7.0;2.0
The Brothers McMullen;comedy, drama, romance;love, independent film, best friend, true love, irish catholic;2.039196;6.3;23.0
Bad Boys;action, comedy, crime, thriller;miami, detective, handcuffs, airport, mexican standoff, strip club, witness protection, car crash, internal affairs, gunfight, explosion, brutality, foot chase, car chase, drug lord, hangar, loose cannon, bust, reference to skittles, black cop, badge, action hero, corrupt cop;9.262184;6.5;1729.0
The Amazing Panda Adventure;action, adventure, drama, family;china, panda, poacher;2.375865;5.0;31.0
The Basketball Diaries;drama, crime;sport, basketball, addiction, friends, drug;7.415144000000001;7.2;472.0
An Awfully Big Adventure;romance, drama, comedy;england, based on novel, liverpool, theatre company, 1940s;0.922958;6.0;11.0
Amateur;crime, comedy, drama, thriller;independent film;1.7590119999999998;6.5;21.0
Apollo 13;drama;moon, florida, nasa, spaceman, race against time, houston, based on true story, space, rescue, survival, disaster, explosion, astronaut, imax, saturn v rocket, courage, hypothermia, apollo program, cape kennedy, lunar mission, spacecraft accident;18.761467;7.3;1637.0
Rob Roy;adventure;scotland, biography, 18th century, highlands, violent man;10.193549;6.5;151.0
The Addiction;drama, horror;new york, philosophy, vampire, blood, student, violence;3.137285;6.4;46.0
Batman Forever;action, crime, fantasy;riddle, dc comics, rose, gotham city, partner, superhero, robin, broken neck, psychologist, violence, criminal, district attorney, millionaire, falling down stairs, tied up, tommy gun, beretta, knocked out, super powers, disfigurement, father figure;13.321354000000001;5.2;1529.0
Belle de Jour;drama, romance;prostitute, adultery, double life, dual identity, jealousy, wife husband relationship, brothel, dream, women's sexual identity, fantasy, masochism, independent film;10.142662;7.3;163.0
Beyond Rangoon;drama, thriller;burma, rangoon, doctor;2.04189;6.4;21.0
Blue in the Face;comedy;smoking, corner shop, cigarette, tobacco, cigar, independent film;11.528147;6.8;28.0
Casper;fantasy, comedy, family;halloween, friendship, supernatural, afterlife, friends, danger, ghost, disorder, young heroes, imaginary, supernatural ability, mischievous children;12.812539;6.0;1045.0
Clockers;mystery, crime, drama;drug pusher, train, drug, drug lord;4.558992;6.8;69.0
Congo;action, adventure, drama, mystery, science fiction, thriller;gorilla, kongo, diamond mine, diamond;7.260574;5.0;214.0
Crimson Tide;action, thriller, drama;submarine, mutiny, russia, missile, nuclear missile, embassy, u.s. navy, battle for power, torpedo, military, moral dilemma, post cold war, aircraft carrier, chain of command, launch code, sonar;8.657364999999999;7.0;508.0
Crumb;documentary;underground, biography, art;3.6203879999999997;7.6;71.0
Desperado;thriller, action, crime;gunslinger, anti terror, ambush, mexico, showdown, guitar, nudity, hitman, bartender, revenge, tragic hero, shootout, mariachi, explosion, extreme violence, brutality, drug lord, leg brace, concealed weapon, flashback, bookstore;6.950458;6.8;898.0
Devil in a Blue Dress;drama, mystery, thriller;jazz club, murder, los angeles, private detective, film noir, neo-noir;4.646132;6.3;88.0
Die Hard: With a Vengeance;action, thriller;bomb, taxi, riddle, robbery, detective, helicopter, gold, subway, ship, fistfight, police, sequel, deception, shootout, new york city, explosion, violence, car chase, fbi agent, simon says, flashback, dump truck, aqueduct, action hero, federal reserve bank;15.138855;6.9;2094.0
The Doom Generation;action, comedy, crime, drama;sex, eroticism, nudity, nazis, suspense, drifter, voyeur;7.120806;5.6;57.0
First Knight;action, adventure, drama, romance;camelot, knight, king arthur, excalibur, knights of the round table;15.178338;5.9;319.0
Free Willy 2 - The Adventure Home;adventure;human animal relationship, whale, killer whale;7.575098;5.5;130.0
Hackers;action, crime, thriller, drama;female nudity, hacker, nudity, computer virus, virtual reality, computer, sexual fantasy, prank, internet, cyberpunk, teenager, new york city, secret service, computer hacker, dream sequence;14.810519000000001;6.2;406.0
Jeffrey;comedy, drama, romance;gay, aids, based on play or musical, hiv positive;3.196456;6.5;19.0
Johnny Mnemonic;adventure, action, drama, science fiction, thriller;brain, childhood memory, dystopia, pharmaceutical industry, computer chip, courier, cyber, cyberpunk;11.715867999999999;5.5;380.0
Judge Dredd;science fiction;judge, post-apocalyptic, dystopia, based on comic, police officer, based on graphic novel, frame up, dystopic future, framed for murder, gene, prosthetic limb, post holocaust, dna testing, dredd, 2000 ad;8.184814999999999;5.4;643.0
Jury Duty;comedy, drama;stripper, jury, jurist, independent film, jury duty, verdict;3.676921;4.0;34.0
Kids;drama, crime;puberty, first time;4.877872;6.8;280.0
Living in Oblivion;drama, comedy;cinema, independent film, filmmaker;10.058328999999999;7.2;64.0
Lord of Illusions;mystery, horror, thriller;fanatic, supernatural, wizardry, resurrection, sect, occultism;4.102409;5.9;87.0
Mad Love;drama, family, romance;suicide attempt, college, teen angst, mental illness, woman director;2.624771;5.5;27.0
Mallrats;romance, comedy;sex, game show, slacker, shopping, mall, ex-boyfriend ex-girlfriend relationship, jay and silent bob, silent man, coke, bandleader, aftercreditsstinger;8.255469999999999;6.8;400.0
Mighty Morphin Power Rangers: The Movie;action, adventure, science fiction, family, fantasy;based on tv series, tokusatsu, superhero team, ethnic diversity, super sentai, power rangers, mighty morphin power rangers, mmpr;7.024227000000001;5.2;153.0
Moonlight and Valentino;comedy, drama, romance;widow, female friendship, grief, death of husband;1.01115;5.6;10.0
Mute Witness;thriller, foreign;chase, police, murder, mute, disk;2.466066;6.4;36.0
Nadja;horror, thriller;new york, vampire, dracula;7.720056;5.9;12.0
The Net;crime, drama, mystery, thriller, action;cheating, new identity, computer virus, chase, computer, stalking;13.304342000000002;5.6;359.0
Nine Months;comedy;parent child relationship, baby, marriage, pregnancy, child wish;8.482834;5.5;171.0
Party Girl;comedy;library, party, independent film, free spirit, woman director, librarian;1.165039;5.8;14.0
The Prophecy;fantasy, horror, thriller;angel, archangel gabriel, menschheit;10.187623;6.4;139.0
Reckless;fantasy, comedy, drama;trauma, game show, female protagonist, christmas;0.11971300000000001;10.0;1.0
Safe;drama;sex, chemical, medicine, housewife, pollution, quarantine, independent film, allergy, psychiatrist, illness, disorder, retreat, multiple chemical sensitivity (mcs), environmental illness;8.180047;7.2;62.0
The Scarlet Letter;drama, history, romance;based on novel, burning of witches, puritan, pregnancy, period drama, extramarital affair;6.752119;5.5;111.0
Showgirls;drama;dancing, female nudity, go-go dancer, spanner, seduction, striptease, sexappeal;17.502375;4.9;261.0
Smoke;comedy, drama;smoking, robber, cigarette, cigar, laden, independent film, writer;5.5529459999999995;7.2;115.0
Something to Talk About;comedy;horse, savannah, based on true story, family;3.743212;5.7;60.0
Species;science fiction, horror, action;telepathy, dna, paranoia, genetics, instinct, femme fatale, alien, on the run, decapitation, sexual attraction, los angeles, cocoon, genetic engineering, scientists, alien dna;13.492845;5.5;457.0
The Stars Fell on Henrietta;drama;restaurant, oil, rural setting;0.913522;6.6;6.0
Strange Days;crime, drama, science fiction, thriller;pornography, prostitute, rape, police brutality, dream, ex-girlfriend, future, bodyguard, rapper, virtual reality, dystopia, minidisc, police, ex-cop, murder, cyberpunk, los angeles, violence, criminal, private detective, revolt, woman director;11.223055;6.8;334.0
The Umbrellas of Cherbourg;drama, romance;car mechanic, letter, musical, war, single;8.133881;7.6;119.0
Three Wishes;drama, fantasy;baseball, drifter, dog, korean war, woman director;11.002046;6.1;18.0
Total Eclipse;drama, romance;mentor, poet, woman director;4.546551999999999;6.5;112.0
To Wong Foo, Thanks for Everything! Julie Newmar;comedy;transvestism, gay, new york, drag queen, homophobia, travel, road movie, woman director;7.653446000000001;6.3;117.0
Under Siege 2: Dark Territory;action, thriller;terrorist, pentagon, satellite, navy seal, train;7.490247;5.6;217.0
Unstrung Heroes;comedy, drama, family;woman director;2.8816889999999997;6.4;9.0
Unzipped;documentary;fashion;0.7860229999999999;6.0;6.0
A Walk in the Clouds;drama, romance;world war ii, vineyard, love, remake, pregnancy, harvest, grape, abandoned woman;9.715639;6.5;168.0
Waterworld;adventure, action;ocean, tattoo, mutant, water, dystopia, doomsday;16.885184;5.9;1017.0
White Man's Burden;drama;dystopia, black white relations, alternative universe;1.8340990000000001;5.1;25.0
Wild Bill;action, western;opium, loss of eyesight, biography, sioux, wild bill hickok, calamity jane;8.922139;5.9;27.0
Bushwhacked;adventure, action, comedy, crime, family;cave, waterfall, children, mistaken identity, boy scouts leader;3.287036;4.9;29.0
Burnt by the Sun;drama;wife husband relationship, colonel;2.4860729999999998;6.7;35.0
Before the Rain;drama, war;monk, mountain, restaurant, war photographer, christian, fashion photographer, girl, violence, albanian, macedonia;3.5256489999999996;7.7;45.0
Before Sunrise;drama, romance;dialogue, sunrise, talking, soulmates, walking, austria, traveller, danube, bittersweet, romantic, vienna;11.304979;7.7;984.0
Billy Madison;comedy;woman director;6.638116;6.2;464.0
The Babysitter;drama, thriller;alcohol, obsession, babysitter, party, teenager, parents;2.761837;4.7;27.0
Boys on the Side;comedy, drama;aids, roommate, homicide, car journey, friendship, friends, homosexuality, escape, road movie;3.030309;6.3;48.0
The Cure;drama, family;mississippi;2.686342;7.2;58.0
Castle Freak;thriller, drama, horror, mystery;castle, voyeurism;2.2697700000000003;5.8;40.0
Circle of Friends;drama, family, romance;forbidden love, moral conflict, independent film;2.605521;6.5;30.0
Clerks;comedy;salesclerk, loser, aftercreditsstinger;10.513367;7.4;769.0
Don Juan DeMarco;romance, drama, comedy;sex addiction, love, mental institution, patient, psychiatrist, don juan;7.438934;6.3;184.0
Disclosure;drama, thriller, crime, mystery, romance;employee, workplace, sexual harassment, intrigue;11.812244;5.9;217.0
Dream Man;thriller;vision, psychic;0.155859;2.5;1.0
Drop Zone;action, adventure, thriller;terrorist, transport of prisoners, airplane, parachuting, suspense;9.579155;5.1;91.0
Destiny Turns on the Radio;crime, comedy, fantasy;heist, expectant father;0.710671;5.3;9.0
Death and the Maiden;drama, thriller, mystery;married couple, chile, pinochet-regime, revenge, doctor, torture, humiliation;5.484156;7.1;92.0
Dolores Claiborne;crime, drama, mystery;child abuse, detective, based on novel, bar, island, suspicion of murder, murder, suspense, dysfunctional family, domestic violence, reporter, maid, anger, alcoholic, accident, abusive father, abusive husband, anti-depressant, bangor-maine, bank account;5.8025;7.1;183.0
Dumb and Dumber;comedy;gas station, motel, utah, stupidity, pill, prank, cigar smoking, violence, criminal, fired from the job, clumsiness, stepmother stepdaughter relationship, sitting on a toilet, aspen colorado, parakeet, defecation, scooter, hotel suite, endangered species, foolish, laxative;9.844558000000001;6.5;1894.0
Eat Drink Man Woman;comedy, drama, romance;cooking, sense of life, daughter, dating, family;4.860016000000001;7.5;76.0
Exotica;drama, mystery;secret, nightclub, pet shop, independent film, unhappiness;5.378467;6.5;64.0
Exit to Eden;thriller, comedy, crime, romance;female nudity, sexuality, island, love, mistress, kinky, smuggler, bdsm;4.322726;4.3;28.0
Ed Wood;comedy, drama, history;individual, taxi, transsexuality, fortune teller, film business, film making, film producer, vororte, film maker, boxer, film director, oddball, celebrity, morphine, movie studio, los angeles, drug addict, cult director, theremin, handgun, trick or treating, actor, transvestite;11.720358000000001;7.3;639.0
French Kiss;comedy, romance;paris, airport, in love with enemy, canadian, necklace, fear of flying, deal, vineyard, smuggling;9.146544;6.2;179.0
Forget Paris;comedy, drama, romance;paris, dallas, basketball, crisis, falling in love, referee;16.236745000000003;6.1;38.0
Far from Home: The Adventures of Yellow Dog;action, adventure, drama, family;wilderness, boy and dog;2.657337;5.6;27.0
A Goofy Movie;romance, animation, family, comedy, adventure;father son relationship, pop singer, musical, celebrity, road trip, dead mother, first love, goofy;10.177977;6.7;404.0
Hideaway;drama, thriller;suspense;8.182165;5.0;24.0
Fluke;drama, family, fantasy;father son relationship, based on novel, reincarnation, talking dog, car accident, dog, flashback, dog movie;4.953936;6.6;48.0
Farinelli;history, drama;brother brother relationship, opera, eunuch, biography, dresden, opera singer;8.935058;5.9;20.0
Gordy;drama, family, fantasy;country music;0.398924;3.0;4.0
Hoop Dreams;documentary;chicago, sports team, ghetto, narration, college, sport, basketball, high school sports, independent film, inner city, high school student;9.47666;7.7;91.0
Heavenly Creatures;drama, fantasy;mother, sex, secret, obsession, literature, nudity, fantasy, passion, love, friends, murder, independent film, lesbian, true, relationship;9.438042;6.9;299.0
